KPI_Name,Source,Consignee,Consignee_Name,Parent_Name,Last Estimated Ocean Arrival Date,Country_Name,Last Estimated Ocean Arrival Location,Last Actual Ocean Arrival Date,Carrier Release Date (UTC),CBL Number,Carrier SCAC,Week,OnTime/Delay_ Status,CBL_Number_Count,On-Time_Count,Delay_Count,On_Time_Percentage
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,31-12-2024,Denmark,DKAAR,31-12-2024,,MAEU245719230,MAEU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,08-01-2025,France,FRFSM,08-01-2025,,MAEU245606042,MAEU,202502,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,08-01-2025,Denmark,DKAAR,08-01-2025,,MAEU245709310,MAEU,202502,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,08-01-2025,Denmark,DKAAR,08-01-2025,,MAEU246079478,MAEU,202502,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,26-02-2025,Denmark,DKAAR,26-02-2025,,MAEU247832415,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,12-02-2025,Denmark,DKAAR,12-02-2025,,MAEU245985076,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,12-02-2025,Denmark,DKAAR,12-02-2025,,MAEU246945360,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,16-01-2025,Denmark,DKAAR,15-01-2025,,MAEU246388383,MAEU,202503,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,22-01-2025,Denmark,DKAAR,22-01-2025,,MAEU245939693,MAEU,202504,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,09-02-2025,Netherlands,NLROT,09-02-2025,,MAEU273591285,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,01-01-2025,Denmark,DKAAR,31-12-2024,,MAEU246055211,MAEU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,03-01-2025,France,FRFSM,03-01-2025,,MAEU245497597,MAEU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,08-01-2025,Denmark,DKAAR,08-01-2025,,MAEU245858598,MAEU,202502,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,08-01-2025,Denmark,DKAAR,08-01-2025,,MAEU246154645,MAEU,202502,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,05-02-2025,Denmark,DKAAR,05-02-2025,,MAEU247504597,MAEU,202506,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,26-02-2025,Denmark,DKAAR,26-02-2025,,MAEU247780688,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,11-02-2025,Denmark,DKKAL,11-02-2025,,MAEU246861949,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,19-02-2025,Denmark,DKAAR,19-02-2025,,MAEU247402070,MAEU,202508,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,22-01-2025,Denmark,DKAAR,22-01-2025,,MAEU246446715,MAEU,202504,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,05-02-2025,Denmark,DKAAR,05-02-2025,,MAEU247213088,MAEU,202506,Delay,1,,1.0,
